date,Precision@10%,Recall@10%,crime_type,model
2023-04-01,0.20841683366733466,0.20841683366733466,Burglary,Seasonal Naive
2023-05-01,0.24048096192384769,0.24048096192384769,Burglary,Seasonal Naive
2023-06-01,0.25250501002004005,0.25250501002004005,Burglary,Seasonal Naive
2023-07-01,0.23847695390781562,0.23847695390781562,Burglary,Seasonal Naive
2023-08-01,0.2625250501002004,0.2625250501002004,Burglary,Seasonal Naive
2023-09-01,0.2124248496993988,0.2124248496993988,Burglary,Seasonal Naive
2023-10-01,0.23446893787575152,0.23446893787575152,Burglary,Seasonal Naive
2023-11-01,0.22845691382765532,0.22845691382765532,Burglary,Seasonal Naive
2023-12-01,0.2685370741482966,0.2685370741482966,Burglary,Seasonal Naive
2024-01-01,0.22244488977955912,0.22244488977955912,Burglary,Seasonal Naive
2024-02-01,0.23246492985971945,0.23246492985971945,Burglary,Seasonal Naive
2024-03-01,0.1903807615230461,0.1903807615230461,Burglary,Seasonal Naive
2023-04-01,0.3306613226452906,0.3306613226452906,Burglary,Random Forest tuned
2023-05-01,0.33266533066132264,0.33266533066132264,Burglary,Random Forest tuned
2023-06-01,0.37675350701402804,0.37675350701402804,Burglary,Random Forest tuned
2023-07-01,0.3847695390781563,0.3847695390781563,Burglary,Random Forest tuned
2023-08-01,0.3967935871743487,0.3967935871743487,Burglary,Random Forest tuned
2023-09-01,0.342685370741483,0.342685370741483,Burglary,Random Forest tuned
2023-10-01,0.3587174348697395,0.3587174348697395,Burglary,Random Forest tuned
2023-11-01,0.3226452905811623,0.3226452905811623,Burglary,Random Forest tuned
2023-12-01,0.3527054108216433,0.3527054108216433,Burglary,Random Forest tuned
2024-01-01,0.3066132264529058,0.3066132264529058,Burglary,Random Forest tuned
2024-02-01,0.36072144288577157,0.36072144288577157,Burglary,Random Forest tuned
2024-03-01,0.32665330661322645,0.32665330661322645,Burglary,Random Forest tuned
2023-04-01,0.3527054108216433,0.3527054108216433,Robbery,Seasonal Naive
2023-05-01,0.3166332665330661,0.3166332665330661,Robbery,Seasonal Naive
2023-06-01,0.33266533066132264,0.33266533066132264,Robbery,Seasonal Naive
2023-07-01,0.3226452905811623,0.3226452905811623,Robbery,Seasonal Naive
2023-08-01,0.3186372745490982,0.3186372745490982,Robbery,Seasonal Naive
2023-09-01,0.312625250501002,0.312625250501002,Robbery,Seasonal Naive
2023-10-01,0.3486973947895792,0.3486973947895792,Robbery,Seasonal Naive
2023-11-01,0.3166332665330661,0.3166332665330661,Robbery,Seasonal Naive
2023-12-01,0.2985971943887776,0.2985971943887776,Robbery,Seasonal Naive
2024-01-01,0.3306613226452906,0.3306613226452906,Robbery,Seasonal Naive
2024-02-01,0.3226452905811623,0.3226452905811623,Robbery,Seasonal Naive
2024-03-01,0.3527054108216433,0.3527054108216433,Robbery,Seasonal Naive
2023-04-01,0.45090180360721444,0.45090180360721444,Robbery,Random Forest tuned
2023-05-01,0.44488977955911824,0.44488977955911824,Robbery,Random Forest tuned
2023-06-01,0.48096192384769537,0.48096192384769537,Robbery,Random Forest tuned
2023-07-01,0.46693386773547096,0.46693386773547096,Robbery,Random Forest tuned
2023-08-01,0.46693386773547096,0.46693386773547096,Robbery,Random Forest tuned
2023-09-01,0.44889779559118237,0.44889779559118237,Robbery,Random Forest tuned
2023-10-01,0.44288577154308617,0.44288577154308617,Robbery,Random Forest tuned
2023-11-01,0.45090180360721444,0.45090180360721444,Robbery,Random Forest tuned
2023-12-01,0.47695390781563124,0.47695390781563124,Robbery,Random Forest tuned
2024-01-01,0.4529058116232465,0.4529058116232465,Robbery,Random Forest tuned
2024-02-01,0.45090180360721444,0.45090180360721444,Robbery,Random Forest tuned
2024-03-01,0.4749498997995992,0.4749498997995992,Robbery,Random Forest tuned
