candidate,n_estimators,max_depth,min_samples_leaf,max_features,RMSE,MAE,R2,Precision@10%,Recall@10%,crime_type
1,50,10,5,sqrt,1.165824087791344,0.8528767700169622,0.19498001590643654,0.3317741396592048,0.3317741396592048,Burglary
2,70,15,3,sqrt,1.1671596406617424,0.8547809268440965,0.1931345186332244,0.33043768793852324,0.33043768793852324,Burglary
3,90,20,2,sqrt,1.1709700543792252,0.8608139252610923,0.18785758851900747,0.3317741396592048,0.3317741396592048,Burglary
3,90,20,2,sqrt,0.9665083768950855,0.5398645345100759,0.6921250203404172,0.43768793852322085,0.43768793852322085,Robbery
2,70,15,3,sqrt,0.9702446536977527,0.5348635516481838,0.689740085934454,0.4360173738723689,0.4360173738723689,Robbery
1,50,10,5,sqrt,0.9802132417019411,0.5399439663520756,0.6833319254727568,0.4336785833611761,0.4336785833611761,Robbery
