crime_type,feature,permutation_importance_mean,permutation_importance_std
Burglary,burglary_lag1,0.017956870921710666,0.0005273195885605042
Burglary,Spatial_Lag_Predictor,0.013546320639097331,0.0016352900800449266
Burglary,burglary_lag3,0.008524722081302782,0.00038802848029878545
Burglary,burglary_lag6,0.004355822913938379,0.0006701213213782808
Burglary,robbery_lag1,0.00411916224437664,0.0007650550906938558
Burglary,robbery_lag6,0.0033235050061881655,0.0002796613598570197
Burglary,burglary_lag12,0.0032428216422853984,0.0004239606210671987
Burglary,Dist_to_HighStreet_m,0.0018713434791625128,0.0005971493762588764
Burglary,robbery_lag3,0.0014168414586492872,0.00026374669034356923
Burglary,robbery_lag12,0.0013259414293999572,0.0007674792709688183
Burglary,IMD_Score,0.0010786707096807069,0.0001985130205499619
Burglary,month_num,0.000138070469974938,0.00015372714281991495
Burglary,Phase_Post-Lockdown,5.551115123125783e-17,5.551115123125783e-17
Burglary,year,5.551115123125783e-17,5.551115123125783e-17
Burglary,is_lockdown,0.0,0.0
Burglary,Phase_Active-Lockdown,0.0,0.0
Burglary,Phase_Pre-Lockdown,0.0,0.0
Burglary,TfL_Mobility_Index,-9.005967559916339e-05,1.574383479485686e-05
Robbery,robbery_lag1,0.033961170942780894,3.116946224512862e-06
Robbery,robbery_lag3,0.02028151413909346,0.00016094676582428802
Robbery,Spatial_Lag_Predictor,0.019408169204220838,0.0010897678905099628
Robbery,robbery_lag6,0.008614086051053071,0.0016605288602353774
Robbery,robbery_lag12,0.00816919462938498,0.0014242427942706137
Robbery,IMD_Score,0.006601297773050463,0.0006344472603411755
Robbery,Dist_to_HighStreet_m,0.005468181072831035,0.000994539965299579
Robbery,burglary_lag3,0.0022126901034465463,0.0004255491265184319
Robbery,Phase_Pre-Lockdown,0.0,0.0
Robbery,is_lockdown,0.0,0.0
Robbery,year,-5.551115123125783e-17,5.551115123125783e-17
Robbery,Phase_Active-Lockdown,-5.551115123125783e-17,5.551115123125783e-17
Robbery,Phase_Post-Lockdown,-1.1102230246251565e-16,0.0
Robbery,TfL_Mobility_Index,-0.0005195712062066038,0.0002881464324326899
Robbery,burglary_lag6,-0.0007343195109639211,0.0003154354497623135
Robbery,month_num,-0.0007685724598853749,0.0004838042742629778
Robbery,burglary_lag1,-0.0010033497780495004,0.0001608511369476373
Robbery,burglary_lag12,-0.001020573034397787,0.0005842682733132043
