Crime type,Model,RMSE,MAE,R2,Precision@10%,Recall@10%,Monthly Precision@10%,Monthly Recall@10%
Burglary,Seasonal Naive,1.565225169614848,1.0232056936647955,-0.37493133092028597,0.22552622786501839,0.22552622786501839,0.23263193052772213,0.23263193052772213
Burglary,Random Forest tuned,1.1634081108302587,0.8514485629070244,0.2403884896581273,0.35248914132976944,0.35248914132976944,0.3493653974615898,0.3493653974615898
Robbery,Seasonal Naive,1.265956694063025,0.5957631649291634,0.5266835181609286,0.32692950217173405,0.32692950217173405,0.32715430861723444,0.32715430861723444
Robbery,Random Forest tuned,0.9941401455732495,0.5768584038121013,0.7081167639980686,0.44804543935850316,0.44804543935850316,0.4590848363393453,0.4590848363393453
