Crime type,Model,RMSE,MAE,R2,Precision@10%,Recall@10%
Burglary,RF tuned with Spatial_Lag_Predictor,1.1634081108302587,0.8514485629070244,0.2403884896581273,0.35248914132976944,0.35248914132976944
Burglary,RF tuned without Spatial_Lag_Predictor,1.168192282461612,0.8551968078708221,0.23412828928721308,0.3501503508185767,0.3501503508185767
Robbery,RF tuned with Spatial_Lag_Predictor,0.9941401455732495,0.5768584038121013,0.7081167639980686,0.44804543935850316,0.44804543935850316
Robbery,RF tuned without Spatial_Lag_Predictor,0.9972327448187239,0.5780183877318,0.7062979421400681,0.44537253591714,0.44537253591714
